Broken_Demongate.map;674;122258;168293
Caves_of_Chaos.map;513;60274;500000
DragonDown_Grotto.map;618;188344;305951
Dragon_Graveyard.map;558;158302;75905
Dragons_Hoard.map;747;339434;148348
Dragon_Shrine.map;594;117448;139929
Drow_Enclave.map;575;120190;105216
Drow_Outpost.map;552;101740;97384
Dungeon_of_Blood.map;546;134624;92891
Fane_of_Lolth.map;624;118554;114369
Field_of_Ruin.map;640;161748;133029
Forest_Cliff_Lair.map;573;78188;265506
Frostfell_Rift.map;572;193468;200000
Hailstorm_Tower.map;529;88144;368000
Hellspike.map;571;225168;46054;571;100876;124012
Keep_of_fallen_Kings_II.map;591;187318;70923
Keep_of_fallen_Kings_I.map;566;119798;97963
Kings_Road.map;584;104776;360398
Magma_Keep.map;608;117328;126005
Mithral_Mines.map;500;72748;98314
Mushroom_Cavern.map;507;135828;65330
Teleport_Temple.map;696;103864;143764
The_Lost_Temple.map;695;243626;142426
Tomb_of_Queen_Peregrine.map;578;151644;79640
Underground_Grotto.map;664;246224;234496
